Nr	Amino_FZ	Propofol	Ethanol	Series	Larval_stage	Length	Rep
29	with	with	without	13	L3_PF	12.4	5
30	with	with	without	13	L3_PF	14.9	5
31	with	without	with	13	L3_PF	15.9	6
32	with	without	with	13	L3_PF	15.3	6
33	with	without	with	13	L3_PF	17.4	6
34	with	without	with	13	L3	15.4	6
35	with	without	with	13	L3_PF	16.6	6
36	with	without	with	13	L3_PF	15.2	6
37	without	with	with	13	L3_PF	16.9	7
38	without	with	with	13	L3_PF	17.6	7
39	without	with	with	13	L3_PF	15.9	7
40	without	with	with	13	L3_PF	14.2	7
42	without	with	with	13	L3_PF	15.8	7
43	with	with	with	13	L3_PF	16.2	8
44	with	with	with	13	L3_PF	17.3	8
45	with	with	with	13	L3_PF	16.3	8
46	with	with	with	13	L3_PF	16.9	8
47	with	with	with	13	L3	13.3	8
48	with	with	with	13	L3_PF	16.9	8
1	without	without	without	14	L3	17.2	1
2	without	without	without	14	L3_PF	16.9	1
3	without	without	without	14	L3_PF	15.8	1
4	without	without	without	14	L3_PF	16.2	1
5	without	without	without	14	L3_PF	14.2	1
6	without	without	without	14	L3_PF	15.2	1
7	with	without	without	14	L3_PF	17.1	2
8	with	without	without	14	L3_PF	10.2	2
9	with	without	without	14	L3_PF	16.3	2
10	with	without	without	14	L3	15.8	2
11	with	without	without	14	L3_PF	17.2	2
12	with	without	without	14	L3	17.2	2
13	without	with	without	14	L3_PF	14.4	3
14	without	with	without	14	L3_PF	16.7	3
15	without	with	without	14	L3_PF	13.8	3
16	without	with	without	14	L3_PF	15.1	3
17	without	with	without	14	L3	12.4	3
18	without	with	without	14	L3	15.7	3
19	without	without	with	14	L3_PF	16.0	4
20	without	without	with	14	L3_PF	15.7	4
21	without	without	with	14	L3_PF	15.1	4
22	without	without	with	14	L3_PF	14.6	4
23	without	without	with	14	L3	7.6	4
24	without	without	with	14	L3_PF	16.1	4
26	with	with	without	14	L3_PF_Puppe	15.4	5
27	with	with	without	14	L3_PF	16.7	5
28	with	with	without	14	L3_PF	17.3	5
29	with	with	without	14	L3_PF	16.8	5
30	with	with	without	14	L3_PF	16.7	5
31	with	without	with	14	L3_PF	16.6	6
32	with	without	with	14	L3	12.2	6
33	with	without	with	14	L3_PF	15.9	6
34	with	without	with	14	L3	10.7	6
36	with	without	with	14	L3_PF	16.2	6
37	without	with	with	14	L3	15.9	7
38	without	with	with	14	L3_PF	16.2	7
39	without	with	with	14	L3_PF	17.6	7
40	without	with	with	14	L3_PF	17.1	7
42	without	with	with	14	L3_PF	16.2	7
43	with	with	with	14	L3_PF	16.7	8
44	with	with	with	14	L3_PF	16.8	8
45	with	with	with	14	L3_PF	16.8	8
46	with	with	with	14	L3	12.9	8
47	with	with	with	14	L3	14.4	8
48	with	with	with	14	L3_PF	13.4	8
1	without	without	without	15	L3_PF	15.6	1
2	without	without	without	15	L3_PF_Puppe	14.0	1
3	without	without	without	15	L3_PF	16.0	1
4	without	without	without	15	L3_PF	16.2	1
11	with	without	without	15	L3_PF	16.1	2
13	without	with	without	15	L3_PF	15.1	3
