Source	Target	@mention	retweet	Weight
bawteach	nycmayor		1	1
bayarearenee	blaubok	1		1
baz20796	alienna3		1	1
bb1fantambra	carminezozzora		1	1
bb1fantambra	edworthy10		1	1
bberghofsr	benjealous		1	1
bbfbhoustno	philstockworld		1	1
bbguru711	bigstick2013		1	1
bbguru711	pink_sprnva		1	1
bbguru711	surfermom77		1	1
bbox	reuters		1	1
bbygothback	daniellemuscato		1	1
bcooke73	wpjenna	1		1
bcstcoast	anonintelgroup		1	1
bdougcalloway	the_trump_train		1	1
bdunn300	adamparkhomenko		1	1
be_persuasive	markdice		1	1
beahbunnie	debramessing		1	1
bearinamsterdam	alexrossmusic	1		1
bearinamsterdam	emilyflake	1		1
bearinamsterdam	eosnos	1		1
bearingleft	andrewti		1	1
bearingleft	jengranholm		1	1
beatrixskunk	ariberman		1	1
beautiful005	leonardgreene		1	1
beauwebb14	intlspectator		1	1
bebopsamurai	captainslog2016		2	2
bebopsamurai	dakotajames_ld		2	2
bebopsamurai	digby56		2	2
bebuilt1	colorarousal		1	1
bebuilt1	hirokotabuchi		1	1
bebuilt1	steveweinstein		1	1
bebuilt1	tbonier		3	3
becafarmer	nycmayor		1	1
beccawahl	peterdaou		1	1
beckerbarroso	statnews		1	1
beckypike34	debilyn4302		1	1
beckypike34	redistrict		1	1
beckywtgdprayer	vabvox		1	1
beefmaster3020	opinionsamerica		1	1
behj	colinjones		1	1
belcebu78	huffpostpol	1		1
beliveme2016	kolhaolam		1	1
bellablue1060	davidfrum		1	1
bellablue1060	honey17011		2	2
bellablue1060	jonathanchait		1	1
bellablue1060	redistrict		1	1
bellafarm	stonekettle		1	1
belskie	ivanka	1		1
belskie	lindaplewis	1		1
belskie	verifiedtweeter		1	1
bemacomber	katiecouric		1	1
ben_landy	emilyjanefox		1	1
ben_m_roberts_1	haveigotnews		1	1
ben_m_roberts_1	independent		2	2
bencltweets	alicesperi		1	1
bencrawford__	ed_miliband		1	1
bendevlin97	rhysblakely		1	1
bengalexfx	hirokotabuchi		1	1
benitogarcia	youtube	1		1
benitorae	c0nvey	1		1
benjamin__rocha	futalors		1	1
benmaracek16	mattmfm		1	1
benmaracek16	thehill		1	1
ber6964	mmpadellan		1	1
berkeleybrett	tribelaw		1	1
bernade97386460	politicussarah		1	1
bernade97386460	steveriker	1	1	2
berthadawson12	tallahfortrump	1		1
bertoheriflores	sputnikmundo	1		1
best_au	debramessing		1	1
best_au	ezlusztig		1	1
best_au	nycmayor		1	1
best_au	stillles4hill		1	1
bestofathlete	cnnpolitlcs		1	1
bethashworth5	naretevduorp		1	1
bethftlrh	beautygiris		1	1
betseybess	derekwillis		1	1
betseybess	robby525		1	1
betsycbaker	keithellison		1	1
betty25real	bfraser747		1	1
bettykiganji	kenyantraffic		1	1
bettyp711	salon	1		1
beulahcrusoe	eds1world		1	1
bevvcr	realdonaldtrump	1		1
bezerides	sputnikmundo	1		1
bfantaye	reuterspolitics		1	1
bfantaye	worldnews24x7		1	1
bfraser747	bfraser747		1	1
bfs465	funder		1	1
bgotfans	sevenhunniid		1	1
bhadoosky	itsgabrielleu		1	1
bhannieparker	funder		1	1
bhannieparker	jenafriedman		1	1
bhopalibhopali	foxbusiness		1	1
bhopalibhopali	immigrant4trump		1	1
bhumanlbeedid4u	johnkerry	1		1
biancaknightp	kurteichenwald		1	1
bibig1964	rt_america		1	1
biblegirl666	biblegirl666		1	1
bicyclemore	mattyglesias		1	1
bigdak54	realdonaldtrump	1		1
bigdudeuk	trevornoah	1		1
biggerdenlife	ezlusztig		2	2
biggerdenlife	maggyw519		1	1
biggerdenlife	mmpadellan		1	1
bigheadtales	gop	1		1
bigjebbos	robgeorge	1		1
bigrichpea	charles_gaba		1	1
bigzulu6	newday	1		1
bijan63	arnonyy		1	1
bikeberg	amy_siskind		1	1
bikeberg	berniesanders		2	2
bikeberg	davidsirota		1	1
bikeberg	sensanders		2	2
bill17683673	kelemencari		1	1
