WDS	LDS	WMS	LMS	WGS	LGS	WAS	LAS	Area	Morphotypes
1.80	1.20	0.35	0.44	0.75	0.59	0.24	0.14	10	1
1.73	1.15	0.37	0.44	0.7	0.55	0.26	0.15	10	1
1.70	1.15	0.35	0.44	0.7	0.56	0.26	0.17	10	1
1.76	1.20	0.35	0.44	0.72	0.57	0.26	0.15	10	1
1.83	1.20	0.36	0.45	0.74	0.55	0.27	0.13	10	1
1.83	1.20	0.36	0.45	0.73	0.55	0.27	0.14	10	1
1.85	1.20	0.365	0.44	0.74	0.55	0.27	0.145	10	1
1.76	1.20	0.36	0.46	0.72	0.52	0.26	0.145	10	1
1.85	1.17	0.36	0.46	0.76	0.58	0.27	0.1	10	1
1.76	1.15	0.36	0.41	0.71	0.56	0.27	0.14	10	1
1.83	1.20	0.38	0.44	0.76	0.54	0.26	0.13	10	1
1.76	1.12	0.35	0.43	0.7	0.55	0.24	0.12	10	1
1.73	1.17	0.34	0.44	0.72	0.58	0.27	0.16	10	1
1.76	1.17	0.35	0.45	0.75	0.54	0.28	0.15	10	1
1.83	1.22	0.35	0.45	0.76	0.59	0.25	0.15	10	1
1.76	1.17	0.35	0.45	0.76	0.56	0.24	0.125	10	1
1.88	1.21	0.38	0.46	0.75	0.6	0.26	0.13	10	1
1.80	1.20	0.36	0.45	0.74	0.58	0.27	0.13	10	1
1.80	1.20	0.37	0.46	0.74	0.55	0.27	0.13	10	1
1.83	1.17	0.38	0.44	0.74	0.58	0.25	0.1	10	1
1.76	1.17	0.39	0.47	0.71	0.58	0.26	0.12	10	1
1.76	1.18	0.36	0.46	0.73	0.59	0.29	0.13	10	1
1.83	1.18	0.36	0.46	0.75	0.58	0.27	0.14	10	1
1.83	1.17	0.38	0.43	0.77	0.59	0.27	0.11	10	1
1.77	1.22	0.34	0.48	0.72	0.54	0.26	0.15	10	1
1.80	1.24	0.36	0.465	0.75	0.585	0.27	0.17	10	1
1.85	1.24	0.33	0.49	0.78	0.595	0.26	0.17	10	1
1.63	1.10	0.34	0.41	0.69	0.57	0.27	0.15	11	3
1.73	1.12	0.37	0.45	0.72	0.55	0.27	0.15	11	3
1.63	1.15	0.31	0.43	0.69	0.57	0.25	0.15	11	3
1.68	1.15	0.35	0.42	0.7	0.56	0.25	0.14	11	3
1.73	1.15	0.38	0.45	0.72	0.55	0.24	0.15	11	3
1.68	1.10	0.35	0.42	0.7	0.53	0.25	0.15	11	3
1.76	1.20	0.37	0.46	0.72	0.55	0.25	0.15	11	3
1.66	1.15	0.33	0.42	0.7	0.53	0.25	0.12	11	3
1.63	1.10	0.34	0.4	0.64	0.52	0.25	0.12	11	3
1.68	1.15	0.35	0.45	0.71	0.54	0.26	0.13	11	3
1.63	1.12	0.3	0.45	0.7	0.55	0.25	0.15	11	3
1.71	1.15	0.36	0.45	0.7	0.52	0.23	0.15	11	3
1.59	1.12	0.35	0.45	0.68	0.45	0.25	0.13	11	3
1.73	1.12	0.34	0.43	0.71	0.55	0.25	0.14	11	3
1.63	1.10	0.32	0.45	0.65	0.53	0.25	0.15	11	3
1.71	1.12	0.35	0.44	0.73	0.53	0.26	0.16	11	3
1.66	1.15	0.32	0.38	0.66	0.55	0.25	0.15	11	3
1.59	1.10	0.31	0.37	0.65	0.55	0.25	0.15	11	3
1.71	1.15	0.33	0.45	0.73	0.54	0.25	0.14	11	3
1.66	1.12	0.35	0.42	0.69	0.56	0.26	0.15	12	2
1.76	1.17	0.38	0.47	0.72	0.56	0.26	0.16	12	2
1.76	1.07	0.35	0.46	0.7	0.58	0.26	0.15	12	2
1.76	1.10	0.35	0.43	0.71	0.55	0.27	0.15	12	2
1.71	1.15	0.35	0.45	0.71	0.54	0.28	0.15	12	2
1.59	1.10	0.31	0.38	0.63	0.53	0.25	0.16	12	2
1.76	1.15	0.35	0.45	0.72	0.56	0.27	0.16	12	2
1.76	1.15	0.36	0.48	0.75	0.56	0.28	0.16	12	2
1.76	1.12	0.35	0.46	0.73	0.54	0.5	0.17	12	2
1.76	1.15	0.37	0.47	0.72	0.55	0.27	0.16	12	2
1.73	1.15	0.35	0.46	0.72	0.54	0.27	0.15	12	2
1.68	1.10	0.37	0.46	0.71	0.54	0.26	0.16	12	2
1.73	1.15	0.35	0.47	0.72	0.56	0.26	0.16	12	2
1.76	1.07	0.35	0.43	0.71	0.55	0.26	0.16	12	2
1.71	1.15	0.36	0.46	0.71	0.57	0.26	0.16	12	2
1.76	1.15	0.36	0.45	0.73	0.62	0.26	0.17	12	2
1.73	1.15	0.41	0.45	0.71	0.55	0.26	0.16	12	2
1.71	1.15	0.37	0.44	0.7	0.54	0.27	0.15	12	2
1.73	1.12	0.36	0.45	0.72	0.56	0.27	0.17	12	2
1.73	1.15	0.37	0.46	0.71	0.56	0.25	0.15	12	2
1.71	1.10	0.35	0.45	0.71	0.56	0.26	0.16	12	2
1.73	1.15	0.37	0.46	0.72	0.55	0.26	0.15	12	2
1.73	1.20	0.35	0.46	0.73	0.58	0.37	0.16	12	2
1.76	1.10	0.35	0.47	0.75	0.57	0.25	0.16	12	2
1.76	1.17	0.38	0.47	0.72	0.56	0.26	0.16	12	2
1.76	1.15	0.35	0.45	0.71	0.54	0.28	0.15	12	2
1.76	1.15	0.36	0.45	0.73	0.62	0.26	0.17	12	2
1.76	1.15	0.36	0.45	0.73	0.62	0.26	0.17	12	2
1.76	1.10	0.35	0.47	0.75	0.57	0.25	0.16	12	2
