Month	CTL 	CW 	PLdx 	PWdx 	PLsx 	PWsx	Weight	Sex	Maturity
May_04	NA	NA	NA	NA	NA	NA	24.0	m	1
May_04	NA	NA	NA	NA	NA	NA	19.5	m	2
May_04	NA	NA	NA	NA	NA	NA	20.5	f	2
May_04	NA	NA	NA	NA	NA	NA	34.0	m	1
May_04	NA	NA	NA	NA	NA	NA	29.5	f	3
May_04	NA	NA	NA	NA	NA	NA	12.5	f	1
May_04	NA	NA	NA	NA	NA	NA	26.0	m	1
May_04	NA	NA	NA	NA	NA	NA	8.5	f	1
May_04	NA	NA	NA	NA	NA	NA	10.5	f	2
May_04	NA	NA	NA	NA	NA	NA	17.0	m	1
May_04	NA	NA	NA	NA	NA	NA	16.5	f	1
May_04	NA	NA	NA	NA	NA	NA	16.0	f	1
May_04	NA	NA	NA	NA	NA	NA	24.5	f	1
May_04	NA	NA	NA	NA	NA	NA	25.0	m	1
May_04	NA	NA	NA	NA	NA	NA	22.5	m	1
May_04	NA	NA	NA	NA	NA	NA	19.0	f	1
May_04	NA	NA	NA	NA	NA	NA	19.5	f	1
May_04	NA	NA	NA	NA	NA	NA	19.0	f	2
May_04	NA	NA	NA	NA	NA	NA	17.0	m	1
May_04	NA	NA	NA	NA	NA	NA	20.0	f	3
May_04	NA	NA	NA	NA	NA	NA	16.5	f	1
May_04	NA	NA	NA	NA	NA	NA	11.0	f	1
May_04	NA	NA	NA	NA	NA	NA	19.0	f	2
May_04	NA	NA	NA	NA	NA	NA	19.0	m	1
May_04	NA	NA	NA	NA	NA	NA	14.0	f	1
May_04	NA	NA	NA	NA	NA	NA	11.5	f	1
May_04	NA	NA	NA	NA	NA	NA	13.5	f	1
May_04	NA	NA	NA	NA	NA	NA	11.0	m	2
May_04	NA	NA	NA	NA	NA	NA	9.5	m	2
May_04	NA	NA	NA	NA	NA	NA	12.5	f	2
May_04	NA	NA	NA	NA	NA	NA	18.5	f	2
May_04	NA	NA	NA	NA	NA	NA	14.0	m	2
May_04	NA	NA	NA	NA	NA	NA	16.5	f	1
May_04	NA	NA	NA	NA	NA	NA	15.5	f	1
May_04	NA	NA	NA	NA	NA	NA	16.0	f	1
May_04	NA	NA	NA	NA	NA	NA	14.0	f	1
May_04	NA	NA	NA	NA	NA	NA	13.5	f	1
May_04	NA	NA	NA	NA	NA	NA	15.5	f	1
May_04	NA	NA	NA	NA	NA	NA	21.0	f	1
May_04	NA	NA	NA	NA	NA	NA	18.5	f	1
May_04	NA	NA	NA	NA	NA	NA	18.5	f	2
May_04	NA	NA	NA	NA	NA	NA	19.0	f	1
Aug_04	57.3	26.1	61.1	18.4	60.4	17.8	48.5	m	1
Aug_04	48.7	22.6	47.0	15.9	47.0	16.2	33.5	m	1
Aug_04	47.2	20.8	45.3	12.9	45.1	13.0	26.5	m	2
Aug_04	50.9	21.9	43.9	14.4	44.6	14.6	31.0	m	1
Aug_04	44.7	20.4	40.1	12.6	40.1	12.7	23.5	m	2
Aug_04	56.5	27.5	37.0	12.1	60.1	18.9	50.0	m	1
Aug_04	47.8	21.5	45.8	14.1	47.7	15.8	31.5	m	1
Aug_04	46.6	20.2	43.7	14.2	42.2	13.9	26.5	m	1
Aug_04	48.2	20.6	43.2	13.2	42.3	13.1	26.0	m	2
Aug_04	52.1	22.6	50.2	16.3	45.5	12.0	34.0	m	1
Aug_04	44.9	19.6	39.2	12.6	39.9	12.7	22.0	m	2
Aug_04	51.8	22.1	41.3	12.3	19.8	6.7	26.0	m	2
Aug_04	50.2	21.8	35.5	11.0	35.6	10.2	26.5	f	3
Aug_04	40.0	17.1	36.1	10.7	35.7	10.6	15.0	m	2
Aug_04	47.5	19.5	30.3	11.2	31.6	11.3	21.5	f	1
Aug_04	47.3	19.3	44.3	13.3	44.6	14.3	21.0	m	1
Aug_04	48.3	22.2	33.5	11.7	33.8	11.6	27.0	f	3
Aug_04	46.4	20.6	26.3	8.0	25.5	8.0	20.0	f	1
Aug_04	36.2	14.5	18.3	5.5	20.5	5.3	9.0	m	2
Aug_04	37.6	16.3	34.3	10.3	34.5	9.9	12.5	m	2
Aug_04	41.8	18.5	27.3	9.0	27.8	9.4	12.0	f	2
Aug_04	45.5	20.0	31.0	11.2	31.3	11.6	22.0	f	1
Aug_04	40.2	17.0	24.6	8.6	24.8	9.0	14.0	f	1
Aug_04	39.2	16.4	22.4	6.8	23.3	7.2	11.5	m	2
Aug_04	27.2	11.3	11.4	3.0	11.7	2.8	4.0	f	1
Aug_04	NA	NA	NA	NA	NA	NA	11.0	m	2
Aug_04	NA	NA	NA	NA	NA	NA	11.5	f	1
Aug_04	NA	NA	NA	NA	NA	NA	9.5	f	1
Aug_04	NA	NA	NA	NA	NA	NA	19.0	m	1
Aug_04	NA	NA	NA	NA	NA	NA	10.0	m	2
Aug_04	NA	NA	NA	NA	NA	NA	12.0	f	1
Aug_04	NA	NA	NA	NA	NA	NA	11.5	m	2
Aug_04	NA	NA	NA	NA	NA	NA	23.5	m	1
Aug_04	NA	NA	NA	NA	NA	NA	19.5	m	2
Aug_04	NA	NA	NA	NA	NA	NA	6.0	m	2
Aug_04	NA	NA	NA	NA	NA	NA	19.0	f	2
Aug_04	NA	NA	NA	NA	NA	NA	16.5	m	2
Aug_04	NA	NA	NA	NA	NA	NA	15.5	f	1
Aug_04	NA	NA	NA	NA	NA	NA	12.0	f	1
Aug_04	NA	NA	NA	NA	NA	NA	19.0	m	2
Aug_04	NA	NA	NA	NA	NA	NA	12.0	m	2
Aug_04	NA	NA	NA	NA	NA	NA	20.0	f	1
Aug_04	NA	NA	NA	NA	NA	NA	11.5	f	1
Aug_04	NA	NA	NA	NA	NA	NA	14.5	m	1
Aug_04	NA	NA	NA	NA	NA	NA	7.5	f	1
Aug_04	NA	NA	NA	NA	NA	NA	10.5	m	2
Aug_04	NA	NA	NA	NA	NA	NA	15.0	m	2
Aug_04	NA	NA	NA	NA	NA	NA	10.5	f	1
Aug_04	NA	NA	NA	NA	NA	NA	23.0	f	2
Aug_04	NA	NA	NA	NA	NA	NA	7.0	m	2
